speaker_year_id,change,shift,reform,revolut,transform,overhaul,reset,pivot,reimagin,redo,rebuild,modify,restructur,innovat,progress,advanc,future,new,next,vision,potential,fresh,modern,alternativ,evolving,evolution,emerging,adapt,broken,outdated,fail,old,established,establishment,gridlock,swamp,corrupt,elit,stagnat,obsolete,rigid,stuck,backward,challenge,break,disrupt,reject,undo,replac,repeal,dismantl,rework,revamp,uproot,renovat,total_changegrams,text_length,percent_changegrams
CRUZ_2016,27,0,19,1,1,0,0,0,0,0,11,0,0,0,0,1,3,45,11,11,4,1,1,0,0,1,0,0,2,0,9,41,0,6,0,0,13,0,2,0,0,1,1,3,7,0,0,2,6,12,0,0,0,0,0,242,182779,0.013240033
WEBB_2016,3,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,15336,0.01304121
SANTORUM_2012,25,1,32,4,6,0,0,0,0,0,1,0,0,6,1,1,5,71,10,21,4,1,0,0,0,4,0,0,4,0,8,49,1,0,0,0,7,0,0,0,0,3,0,2,11,0,1,1,5,30,0,0,0,0,0,315,242733,0.012977222
JINDAL_2016,15,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,4,1,1,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,1,1,4,0,2,0,1,5,0,0,0,0,0,69,53354,0.012932489
PAWLENTY_2012,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,30,23233,0.012912667
KLOBUCHAR_2020,30,1,14,0,0,0,0,0,0,0,0,0,0,0,6,1,5,42,13,4,0,1,0,1,0,0,0,0,3,0,2,41,0,1,4,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,176,137014,0.012845403
BUSH_2000,23,1,54,0,0,1,0,0,0,0,12,0,0,2,3,3,16,51,18,16,1,7,4,1,0,1,0,0,1,0,8,60,0,0,1,0,2,0,0,2,0,1,0,3,5,0,7,0,2,0,1,0,0,1,0,308,241313,0.012763506
WILLIAMSON_2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15741,0.012705673
LIEBERMAN_2000,3,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,19,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,34662,0.012694017
RYAN_2012,9,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,0,0,0,2,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50,40870,0.012233912
KERRY_2004,19,1,9,0,1,0,0,0,0,0,2,0,0,0,1,0,7,36,5,15,1,4,3,0,0,0,0,0,2,0,4,34,0,0,0,0,0,0,0,0,1,0,7,4,5,0,0,5,0,0,0,0,0,0,0,166,138392,0.011994913
PAUL_2016,15,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,1,0,0,2,0,2,14,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,63,55130,0.011427535
ROMNEY_2012,62,2,23,3,3,0,0,0,0,0,4,0,8,7,8,1,57,101,29,19,10,0,10,3,0,3,0,1,4,0,51,53,1,0,1,0,1,0,0,0,0,0,0,14,19,1,6,1,19,24,1,0,0,0,0,550,489157,0.011243834
BIDEN_2020,83,0,1,4,0,0,0,0,0,0,6,0,0,0,10,0,10,67,18,9,3,0,3,0,0,4,0,0,0,0,5,64,1,0,0,0,7,0,0,0,0,0,1,0,11,1,0,7,3,0,0,0,0,0,0,318,287189,0.011072847
BIDEN_2012,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,41,37185,0.011025951
HUNTER_2008,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,11,4,0,0,0,3,1,0,1,0,0,0,1,18,1,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,73,66663,0.010950602
KASICH_2016,18,3,26,1,0,1,0,0,0,0,11,0,1,6,2,1,7,26,6,6,3,0,1,1,1,1,0,0,0,0,3,26,0,3,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,2,1,0,0,0,0,165,153856,0.010724314
KEYES_2008,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,18132,0.010478712
SANTORUM_2016,12,0,13,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,4,11,2,2,0,0,0,0,0,0,1,0,4,13,5,1,0,0,1,0,0,0,0,3,0,1,4,0,0,0,1,4,0,0,0,0,0,92,89519,0.010277148
PERRY_2012,8,0,8,0,2,3,0,0,0,1,0,0,0,7,3,0,4,29,9,2,0,0,0,2,0,0,1,0,1,0,14,13,1,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,120,118825,0.010098885
DODD_2008,13,0,8,0,1,0,0,0,0,0,1,0,0,0,1,3,6,20,4,7,0,0,0,8,0,0,0,0,0,0,14,23,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,5,0,0,0,0,0,0,0,122,122451,0.009963169
DELANEY_2020,2,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,18500,0.009189189
HUCKABEE_2016,7,3,2,0,5,0,0,0,0,0,1,0,0,0,0,1,0,12,7,0,2,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,70,77791,0.00899847
KEYES_2000,12,1,10,0,0,0,0,0,0,0,0,0,1,0,1,0,16,22,3,8,3,0,0,5,0,0,0,0,2,0,6,32,7,0,0,0,8,0,0,0,0,0,0,7,3,1,1,0,3,0,0,0,2,0,0,154,173176,0.008892687
EDWARDS_2004,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,10,0,1,0,2,1,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,58,66351,0.00874139
HARRIS_2012,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9458,0.008458448
BROWNBACK_2008,3,0,0,0,0,0,0,1,0,0,8,0,0,0,3,1,6,5,2,2,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,43,51303,0.008381576
TRUMP_2016,38,0,0,0,0,0,0,1,0,1,9,0,1,0,0,0,1,84,9,20,4,0,2,2,1,0,0,0,6,0,9,46,0,1,2,0,5,0,0,2,0,0,0,1,13,0,0,5,9,12,0,0,0,0,0,284,342618,0.008289115
DEAN_2004,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,15748,0.008255017
HUCKABEE_2008,23,1,1,2,1,3,0,1,0,0,1,0,0,2,0,1,11,9,9,8,2,0,0,7,0,2,0,0,3,0,3,25,1,0,1,0,2,1,0,0,0,2,0,6,5,0,0,0,1,0,0,0,1,0,0,135,166352,0.008115322
PAUL_2008,34,1,1,5,0,0,0,0,0,0,2,0,0,0,2,0,0,9,1,0,0,0,1,1,0,5,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1,0,2,0,0,0,0,0,90,111016,0.00810694
TRUMP_2020,4,0,6,1,0,0,0,0,0,0,5,0,0,0,0,1,0,29,0,1,0,0,2,0,0,1,0,0,1,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,80601,0.008064416
PAUL_2012,32,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,1,21,3,1,0,0,0,2,0,4,0,1,0,0,8,36,0,0,0,0,2,1,0,0,0,5,0,8,3,1,3,0,2,14,0,0,1,0,0,157,207535,0.007564989
PERRY_2016,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7497,0.006669334
GILMORE_2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,20300,0.006403941
CARSON_2016,5,3,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,9,9,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,53,83036,0.006382774
TANCREDO_2008,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,5,2,2,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,40,62805,0.00636892
SHARPTON_2004,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,14394,0.006252605
EDWARDS_2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1907,0.005243838
BUSH_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0
CLARK_2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0
JOHNSON_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0
